2016年,,,,,
日付,出現,確率,閾値40,閾値50,閾値60
2016/5/14,,30,,,
2016/5/15,0,30,適中なし,適中なし,適中なし
2016/5/16,1,50,適中,適中,見逃し
2016/5/17,,,,,
2016/5/18,0,30,適中なし,適中なし,適中なし
2016/5/19,0,40,空振り,適中なし,適中なし
2016/5/20,0,20,適中なし,適中なし,適中なし
2016/5/21,0,30,適中なし,適中なし,適中なし
2016/5/22,0,30,適中なし,適中なし,適中なし
2016/5/23,0,30,適中なし,適中なし,適中なし
2016/5/24,0,20,適中なし,適中なし,適中なし
2016/5/25,1,30,見逃し,見逃し,見逃し
2016/5/26,0,40,空振り,適中なし,適中なし
2016/5/27,0,30,適中なし,適中なし,適中なし
2016/5/28,0,30,適中なし,適中なし,適中なし
2016/5/29,1,30,見逃し,見逃し,見逃し
2016/5/30,,30,,,
2016/5/31,1,30,見逃し,見逃し,見逃し
2016/6/1,1,20,見逃し,見逃し,見逃し
2016/6/2,0,,,,
2016/6/3,0,30,適中なし,適中なし,適中なし
2016/6/4,0,30,適中なし,適中なし,適中なし
2016/6/5,0,30,適中なし,適中なし,適中なし
2016/6/6,1,30,見逃し,見逃し,見逃し
2016/6/7,0,30,適中なし,適中なし,適中なし
2016/6/8,0,30,適中なし,適中なし,適中なし
2016/6/9,0,30,適中なし,適中なし,適中なし
2016/6/10,0,30,適中なし,適中なし,適中なし
2016/6/11,0,20,適中なし,適中なし,適中なし
2016/6/12,1,40,適中,見逃し,見逃し
2016/6/13,0,40,空振り,適中なし,適中なし
2016/6/14,0,20,適中なし,適中なし,適中なし
2016/6/15,1,30,見逃し,見逃し,見逃し
2016/6/16,0,40,空振り,適中なし,適中なし
2016/6/17,0,20,適中なし,適中なし,適中なし
2016/6/18,0,30,適中なし,適中なし,適中なし
2016/6/19,1,30,見逃し,見逃し,見逃し
2016/6/20,0,30,適中なし,適中なし,適中なし
2016/6/21,0,30,適中なし,適中なし,適中なし
2016/6/22,0,50,空振り,空振り,適中なし
2016/6/23,0,40,空振り,適中なし,適中なし
2016/6/24,1,30,見逃し,見逃し,見逃し
2016/6/25,0,30,適中なし,適中なし,適中なし
2016/6/26,0,20,適中なし,適中なし,適中なし
2016/6/27,1,40,適中,見逃し,見逃し
2016/6/28,1,40,適中,見逃し,見逃し
2016/6/29,1,50,適中,適中,見逃し
2016/6/30,0,30,適中なし,適中なし,適中なし
2016/7/1,0,30,適中なし,適中なし,適中なし
2016/7/2,0,30,適中なし,適中なし,適中なし
2016/7/3,0,20,適中なし,適中なし,適中なし
2016/7/4,0,30,適中なし,適中なし,適中なし
2016/7/5,1,50,適中,適中,見逃し
2016/7/6,1,30,見逃し,見逃し,見逃し
2016/7/7,1,40,適中,見逃し,見逃し
2016/7/8,1,20,見逃し,見逃し,見逃し
2016/7/9,1,30,見逃し,見逃し,見逃し
2016/7/10,0,30,適中なし,適中なし,適中なし
2016/7/11,0,30,適中なし,適中なし,適中なし
2016/7/12,1,30,見逃し,見逃し,見逃し
2016/7/13,1,30,見逃し,見逃し,見逃し
2016/7/14,1,40,適中,見逃し,見逃し
2016/7/15,0,60,空振り,空振り,空振り
2016/7/16,1,50,適中,適中,見逃し
2016/7/17,1,40,適中,見逃し,見逃し
2016/7/18,0,50,空振り,空振り,適中なし
2016/7/19,0,20,適中なし,適中なし,適中なし
2016/7/20,0,20,適中なし,適中なし,適中なし
2016/7/21,1,30,見逃し,見逃し,見逃し
2016/7/22,1,40,適中,見逃し,見逃し
2016/7/23,1,40,適中,見逃し,見逃し
2016/7/24,1,50,適中,適中,適中
2016/7/25,1,50,適中,適中,適中
2016/7/26,1,40,適中,見逃し,見逃し
2016/7/27,0,40,空振り,空振り,空振り
2016/7/28,0,,,,
2016/7/29,0,,,,
2016/7/30,0,,,,
2016/7/31,0,30,適中なし,適中なし,適中なし
2016/8/1,1,30,見逃し,見逃し,見逃し
2016/8/2,1,30,見逃し,見逃し,見逃し
2016/8/3,1,30,見逃し,見逃し,見逃し
2016/8/4,0,30,適中なし,適中なし,適中なし
2016/8/5,0,30,適中なし,適中なし,適中なし
2016/8/6,0,20,適中なし,適中なし,適中なし
2016/8/7,0,30,適中なし,適中なし,適中なし
2016/8/8,1,30,見逃し,見逃し,見逃し
2016/8/9,,30,,,
2016/8/10,1,30,見逃し,見逃し,見逃し
2016/8/11,1,30,見逃し,見逃し,見逃し
2016/8/12,1,30,見逃し,見逃し,見逃し
2016/8/13,1,30,見逃し,見逃し,見逃し
2016/8/14,0,60,空振り,空振り,空振り
2016/8/15,0,20,適中なし,適中なし,適中なし
2016/8/16,1,30,見逃し,見逃し,見逃し
2016/8/17,0,,,,
2016/8/18,0,,,,
2016/8/19,0,30,適中なし,適中なし,適中なし
2016/8/20,,20,,,
2016/8/21,0,20,適中なし,適中なし,適中なし
2016/8/22,0,20,適中なし,適中なし,適中なし
2016/8/23,0,,,,
2016/8/24,1,30,見逃し,見逃し,見逃し
2016/8/25,1,50,適中,適中,見逃し
2016/8/26,0,20,適中なし,適中なし,適中なし
2016/8/27,1,40,適中,見逃し,見逃し
2016/8/28,0,30,適中なし,適中なし,適中なし
2016/8/29,0,30,適中なし,適中なし,適中なし
2016/8/30,0,20,適中なし,適中なし,適中なし
2016/8/31,,,,,
2016/9/1,,,,,
2016/9/2,,,,,
2016/9/3,,,,,
2016/9/4,,,,,
2016/9/5,,,,,
2016/9/6,,,,,
2016/9/7,,,,,
2016/9/8,,,,,
2016/9/9,0,,,,
2016/9/10,0,,,,
2016/9/11,1,,,,
2016/9/12,1,,,,
2016/9/13,0,,,,
2016/9/14,1,,,,
2016/9/15,1,,,,
2016/9/16,1,,,,
2016/9/17,0,,,,
2016/9/18,0,,,,
2016/9/19,1,,,,
2016/9/20,1,,,,
2016/9/21,1,,,,
2016/9/22,0,,,,
2016/9/23,0,,,,
2016/9/24,1,,,,
2016/9/25,1,,,,
2016/9/26,0,,,,
2016/9/27,0,,,,
2016/9/28,0,,,,
2016/9/29,1,,,,
2016/9/30,1,,,,
2016/10/1,0,30,適中,適中,適中
2016/10/2,0,30,適中,適中,適中
2016/10/3,0,20,適中,適中,適中
2016/10/4,0,,,,
2016/10/5,0,30,適中,適中,適中
2016/10/6,0,,,,
2016/10/7,0,20,適中,適中,適中
2016/10/8,0,20,適中,適中,適中
2016/10/9,0,30,適中,適中,適中
2016/10/10,0,20,適中,適中,適中
2016/10/11,0,20,適中,適中,適中
2016/10/12,0,20,適中,適中,適中
2016/10/13,0,20,適中,適中,適中
2016/10/14,0,30,適中,適中,適中
2016/10/15,0,20,適中,適中,適中
2016/10/16,0,30,適中,適中,適中
2016/10/17,0,30,適中,適中,適中
