2008年,,,,,,,,,,,
日付,出現,確率,閾値40,閾値50,閾値60,,,,,,
2008/8/26,無,40%,空振り,適中なし,適中なし,雲の中営業（視界30～50m）,,,,,
2008/8/27,無,40%,空振り,適中なし,適中なし,朝一雲海でしたが5:00よりガス発生し、雨になる。ときどき雲海でた。,,,,,
2008/8/28,有,30%,見逃し,見逃し,見逃し,東の空にあり。すがすがしい朝でした。,,,,,
2008/8/29,無,40%,空振り,適中なし,適中なし,雷雨中止。,,,,,
2008/8/30,無,50%,空振り,空振り,適中なし,雲の中カミナリの為1時間。,,,,,
2008/8/31,無,50%,空振り,空振り,適中なし,営業中雲の中でした。朝営業前は出ていた。,,,,,
2008/9/1,無,30%,適中なし,適中なし,適中なし,雲の中でした、営業する。,,,,,
2008/9/2,有,40%,適中,見逃し,見逃し,低い雲海（上トマム～トマム駅）,,,,,
2008/9/3,有,50%,適中,適中,見逃し,6:00頃と7:00頃雲海でました。（30分+30分）,,,,,
2008/9/4,無,50%,空振り,空振り,適中なし,雲の中、7:00頃より視界が少しよくなったが、雲海は出なかった。,,,,,
2008/9/5,有,50%,適中,適中,見逃し,雲海100%！7:30頃から中トマムのみ見えはじめる。,,,,,
2008/9/6,有,50%,適中,適中,見逃し,雲海あり、7:00頃からなくなる。,,,,,
2008/9/7,無,30%,適中なし,適中なし,適中なし,雨で中止,,,,,
2008/9/8,有,60%,適中,適中,適中,低い雲海（トマム全体）7:00頃から少しずつなくなる。,,,,,
2008/9/9,無,60%,空振り,空振り,空振り,雲の中、少し晴れたが雲海は出なかった。,,,,,
2008/9/10,無,50%,空振り,空振り,適中なし,上トマム、ゴルフコースに少し有り（もや）,,,,,
2008/9/11,無,50%,空振り,空振り,適中なし,十勝方面にうっすら雲海,,,,,
2008/9/12,無,50%,空振り,空振り,適中なし,小雨の為中止,,,,,
2008/9/13,無,60%,空振り,空振り,空振り,ガスの中、少し晴れたら低い雲海が見えた。,,,,,
2008/9/14,無,60%,空振り,空振り,空振り,視界があったりなかったり。,,,,,
2008/9/15,無,50%,空振り,空振り,適中なし,朝一は下に少しの雲。,,,,,
2008/9/16,無,50%,空振り,空振り,適中なし,東の空に雲海有り。一時視界不良になる。,,,,,
2008/9/17,無,50%,空振り,空振り,適中なし,朝一は下に少し雲海。AM6:00頃なくなる。,,,,,
2008/9/18,無,50%,空振り,空振り,適中なし,営業中うすいガスがかかっていた。,,,,,
2008/9/19,無,40%,空振り,適中なし,適中なし,強風の為中止,,,,,
2008/9/20,無,40%,空振り,適中なし,適中なし,良い天気でした。,,,,,
2008/9/21,無,40%,空振り,適中なし,適中なし,風が３～４m寒い日でした。,,,,,
2008/9/22,無,40%,空振り,適中なし,適中なし,ガスで山麓が見え隠れ,,,,,
2008/9/23,無,30%,適中なし,適中なし,適中なし,強風で7:15営業中止,,,,,
2008/9/24,無,50%,空振り,空振り,適中なし,雨天中止,,,,,
2008/9/25,無,40%,空振り,適中なし,適中なし,強風の為中止,,,,,
2008/9/26,無,30%,適中なし,適中なし,適中なし,視界不良の為中止,,,,,
2008/9/27,無,30%,適中なし,適中なし,適中なし,悪天候の為中止（山頂は雪です！）,,,,,
2008/9/28,無,30%,適中なし,適中なし,適中なし,悪天候の為中止、雪が残っていた。,,,,,
2008/9/29,無,40%,空振り,適中なし,適中なし,上トマム～駅にかけて低い雲有りAM7:00頃消える。,,,,,
2008/9/30,無,40%,空振り,適中なし,適中なし,上トマム～駅にかけて低い雲有りAM7:00頃消える。,,,,,
