2019年,,,,,
日付,出現,確率,閾値40,閾値50,閾値60
2019/5/11,0,30,適中なし,適中なし,適中なし
2019/5/12,0,30,適中なし,適中なし,適中なし
2019/5/13,0,30,適中なし,適中なし,適中なし
2019/5/14,0,30,適中なし,適中なし,適中なし
2019/5/15,0,50,空振り,空振り,適中なし
2019/5/16,1,50,適中,適中,見逃し
2019/5/17,1,50,適中,適中,見逃し
2019/5/18,1,60,適中,適中,適中
2019/5/19,1,50,適中,適中,見逃し
2019/5/20,1,30,見逃し,見逃し,見逃し
2019/5/21,1,20,見逃し,見逃し,見逃し
2019/5/22,1,40,適中,見逃し,見逃し
2019/5/23,0,30,適中なし,適中なし,適中なし
2019/5/24,0,50,空振り,空振り,適中なし
2019/5/25,0,40,空振り,適中なし,適中なし
2019/5/26,0,20,適中なし,適中なし,適中なし
2019/5/27,0,20,適中なし,適中なし,適中なし
2019/5/28,0,20,適中なし,適中なし,適中なし
2019/5/29,0,50,空振り,空振り,適中なし
2019/5/30,0,30,適中なし,適中なし,適中なし
2019/5/31,0,30,適中なし,適中なし,適中なし
2019/6/1,0,50,空振り,空振り,適中なし
2019/6/2,0,50,空振り,空振り,適中なし
2019/6/3,0,40,空振り,適中なし,適中なし
2019/6/4,0,20,適中なし,適中なし,適中なし
2019/6/5,1,20,見逃し,見逃し,見逃し
2019/6/6,1,30,見逃し,見逃し,見逃し
2019/6/7,0,30,適中なし,適中なし,適中なし
2019/6/8,0,40,空振り,適中なし,適中なし
2019/6/9,0,30,適中なし,適中なし,適中なし
2019/6/10,0,20,適中なし,適中なし,適中なし
2019/6/11,1,60,適中,適中,適中
2019/6/12,1,60,適中,適中,適中
2019/6/13,0,30,適中なし,適中なし,適中なし
2019/6/14,0,50,空振り,空振り,適中なし
2019/6/15,1,40,適中,見逃し,見逃し
2019/6/16,0,20,適中なし,適中なし,適中なし
2019/6/17,0,20,適中なし,適中なし,適中なし
2019/6/18,1,40,適中,見逃し,見逃し
2019/6/19,0,40,空振り,適中なし,適中なし
2019/6/20,0,50,空振り,空振り,適中なし
2019/6/21,1,40,適中,見逃し,見逃し
2019/6/22,0,40,空振り,適中なし,適中なし
2019/6/23,0,30,適中なし,適中なし,適中なし
2019/6/24,1,40,適中,見逃し,見逃し
