2021年,,,,,
日付,出現,確率,閾値40,閾値50,閾値60
2021/5/11,0,30,適中なし,適中なし,適中なし
2021/5/12,1,30,見逃し,見逃し,見逃し
2021/5/13,1,40,適中,見逃し,見逃し
2021/5/14,0,30,適中なし,適中なし,適中なし
2021/5/15,0,30,適中なし,適中なし,適中なし
2021/5/16,1,30,見逃し,見逃し,見逃し
2021/5/17,0,20,適中なし,適中なし,適中なし
2021/5/18,1,30,見逃し,見逃し,見逃し
2021/5/19,1,40,適中,見逃し,見逃し
2021/5/20,0,30,適中なし,適中なし,適中なし
2021/5/21,0,50,空振り,空振り,適中
2021/5/22,0,30,適中なし,適中なし,適中なし
2021/5/23,1,30,見逃し,見逃し,見逃し
2021/5/24,0,30,適中なし,適中なし,適中なし
2021/5/25,0,20,適中なし,適中なし,適中なし
2021/5/26,1,30,見逃し,見逃し,見逃し
2021/5/27,0,40,空振り,適中なし,適中なし
2021/5/28,0,20,適中なし,適中なし,適中なし
2021/5/29,0,30,適中なし,適中なし,適中なし
2021/5/30,0,20,適中なし,適中なし,適中なし
2021/5/31,0,40,空振り,適中なし,適中なし
2021/6/1,1,30,見逃し,見逃し,見逃し
2021/6/2,1,40,適中,見逃し,見逃し
2021/6/3,1,30,見逃し,見逃し,見逃し
2021/6/4,0,20,適中なし,適中なし,適中なし
2021/6/5,0,30,適中なし,適中なし,適中なし
2021/6/6,0,30,適中なし,適中なし,適中なし
2021/6/7,0,30,適中なし,適中なし,適中なし
2021/6/8,0,30,適中なし,適中なし,適中なし
2021/6/9,1,20,見逃し,見逃し,見逃し
2021/6/10,1,30,見逃し,見逃し,見逃し
2021/6/11,0,40,空振り,適中なし,適中なし
2021/6/12,0,40,空振り,適中なし,適中なし
2021/6/13,0,40,空振り,適中なし,適中なし
2021/6/14,1,30,見逃し,見逃し,見逃し
2021/6/15,0,20,適中なし,適中なし,適中なし
2021/6/16,1,40,適中,見逃し,見逃し
2021/6/17,1,40,適中,見逃し,見逃し
2021/6/18,1,40,適中,見逃し,見逃し
2021/6/19,1,30,見逃し,見逃し,見逃し
2021/6/20,0,20,適中なし,適中なし,適中なし
2021/6/21,1,40,適中,見逃し,見逃し
2021/6/22,1,40,適中,見逃し,見逃し
2021/6/23,1,40,適中,見逃し,見逃し
2021/6/24,0,40,空振り,適中なし,適中なし
2021/6/25,0,30,適中なし,適中なし,適中なし
2021/6/26,0,30,適中なし,適中なし,適中なし
2021/6/27,0,40,空振り,適中なし,適中なし
2021/6/28,0,30,適中なし,適中なし,適中なし
2021/6/29,0,40,空振り,適中なし,適中なし
2021/6/30,1,30,見逃し,見逃し,見逃し
2021/7/1,1,40,適中,見逃し,見逃し
2021/7/2,1,50,適中,適中,見逃し
2021/7/3,1,30,見逃し,見逃し,見逃し
2021/7/4,0,40,空振り,適中なし,適中なし
2021/7/5,0,20,適中なし,適中なし,適中なし
2021/7/6,0,20,適中なし,適中なし,適中なし
2021/7/7,1,30,見逃し,見逃し,見逃し
2021/7/8,1,50,適中,適中,見逃し
2021/7/9,1,50,適中,適中,見逃し
2021/7/10,1,50,適中,適中,見逃し
2021/7/11,0,40,空振り,適中なし,適中なし
2021/7/12,1,30,見逃し,見逃し,見逃し
2021/7/13,1,30,見逃し,見逃し,見逃し
2021/7/14,1,50,適中,適中,見逃し
2021/7/15,1,50,適中,適中,見逃し
2021/7/16,1,50,適中,適中,見逃し
2021/7/17,0,40,空振り,適中なし,適中なし
2021/7/18,0,30,適中なし,適中なし,適中なし
2021/7/19,0,30,適中なし,適中なし,適中なし
2021/7/20,1,20,見逃し,見逃し,見逃し
2021/7/21,1,30,見逃し,見逃し,見逃し
2021/7/22,1,50,適中,適中,見逃し
2021/7/23,1,40,適中,見逃し,見逃し
2021/7/24,1,40,適中,見逃し,見逃し
2021/7/25,1,40,適中,見逃し,見逃し
2021/7/26,0,60,空振り,空振り,空振り
2021/7/27,0,30,適中なし,適中なし,適中なし
2021/7/28,0,40,空振り,適中なし,適中なし
2021/7/29,1,30,見逃し,見逃し,見逃し
2021/7/30,1,30,見逃し,見逃し,見逃し
2021/7/31,1,30,見逃し,見逃し,見逃し
