2011年,,,,,,,,,,,
日付,出現,確率,閾値40,閾値50,閾値60,,,,,,
2011/6/1,無,70%,空振り,空振り,空振り,営業初日、雲海無し。,,,,,
2011/6/2,有,50%,適中,適中,適中,綺麗な全面雲海、6：30頃なくなる。,,,,,
2011/6/3,無,40%,空振り,適中なし,適中なし,雲海無し、雨がちらちら降っていた。,,,,,
2011/6/4,無,50%,空振り,空振り,適中なし,雲海無し、視界良好。,,,,,
2011/6/5,無,60%,空振り,空振り,空振り,視界不良、営業中ずっと雲中。,,,,,
2011/6/6,無,40%,空振り,適中なし,適中なし,4：40ゴンドラ機械調整の為運休。,,,,,
2011/6/7,有,50%,適中,適中,見逃し,綺麗な全面雲海、タワーの頭が見えるくらい。,,,,,
2011/6/8,無,40%,空振り,適中なし,適中なし,上トマム～エリア内もや。,,,,,
2011/6/9,無,50%,空振り,空振り,適中なし,機械調整の為　6：30～営業開始。,,,,,
2011/6/10,無,50%,空振り,空振り,適中なし,雲中,,,,,
2011/6/11,無,40%,空振り,適中なし,適中なし,雲中、7：00頃から視界良好。,,,,,
2011/6/12,有,50%,適中,適中,見逃し,低い雲海、6：30頃から消えだした。,,,,,
2011/6/13,無,40%,空振り,適中なし,適中なし,視界不良、営業中ずっと雲中。,,,,,
2011/6/14,無,40%,空振り,適中なし,適中なし,視界不良、雲中。,,,,,
2011/6/15,無,60%,空振り,空振り,空振り,視界不良、雲中。,,,,,
2011/6/16,有,60%,適中,適中,適中,雲中→雲海→晴れ,,,,,
2011/6/17,有,60%,適中,適中,適中,エリア内低い、十勝方面綺麗な雲海。6：30エリア内消滅。,,,,,
2011/6/18,無,50%,空振り,空振り,適中なし,雲海なし、視界良好。,,,,,
2011/6/19,有,40%,適中,見逃し,見逃し,エリア内低い雲海。,,,,,
2011/6/20,無,40%,空振り,適中なし,適中なし,雲中→晴れ,,,,,
2011/6/21,無,50%,空振り,空振り,適中なし,快晴,,,,,
2011/6/22,無,40%,空振り,適中なし,適中なし,雲中,,,,,
2011/6/23,有,40%,適中,見逃し,見逃し,視界有。→雲海（十勝方面から）５:４０雲中６:１０雲海,,,,,
2011/6/24,無,40%,空振り,適中なし,適中なし,雲中→たまに視界有→雲中,,,,,
2011/6/25,無,50%,空振り,空振り,適中なし,曇りだが、視界良好。,,,,,
2011/6/26,有,70%,適中,適中,適中,トマム方面帯状の雲海、十勝方面キレイな雲海。,,,,,
2011/6/27,有,60%,適中,適中,適中,上トマム～駅にかけて雲海。5：20消滅,,,,,
2011/6/28,有,30%,見逃し,見逃し,見逃し,雲中→雲海（7：00）十勝平野,,,,,
2011/6/29,無,30%,適中なし,適中なし,適中なし,雲中,,,,,
2011/6/30,無,50%,空振り,空振り,適中なし,雲海なし、視界良好。,,,,,
2011/7/1,有,50%,空振り,空振り,見逃し,雲海→雲中→綺麗な雲海（6：20～7：00）,,,,,
2011/7/2,有,60%,適中,適中,適中,荒れた雲海（～7：30）,,,,,
2011/7/3,有,60%,適中,適中,適中,全面雲海（～7：15）,,,,,
2011/7/4,無,30%,適中なし,適中なし,適中なし,雲中→雨（6：30～）,,,,,
2011/7/5,,30%,,,,強風・視界不良　運休,,,,,
2011/7/6,無,50%,空振り,空振り,適中なし,雲中、雨が降ったり止んだり,,,,,
2011/7/7,有,60%,適中,適中,適中,トマム産　低い雲海　～６時まで,,,,,
2011/7/8,有,40%,適中,見逃し,見逃し,雲中→雲海（５時頃～）見えたり見えなかったり。悪天候型,,,,,
2011/7/9,無,40%,空振り,適中なし,適中なし,雲中,,,,,
2011/7/10,無,50%,空振り,空振り,適中なし,雲中　強風の為6：40分営業中止,,,,,
2011/7/11,有,60%,適中,適中,適中,低い雲海→雲中→晴れ,,,,,
2011/7/12,無,40%,空振り,適中なし,適中なし,雲中（雨パラパラ）→晴れ（７時頃）,,,,,
2011/7/13,無,40%,空振り,適中なし,適中なし,雲中。視界30ｍ→雨,,,,,
2011/7/14,無,30%,適中なし,適中なし,適中なし,雷雨の為　運休,,,,,
2011/7/15,無,30%,適中なし,適中なし,適中なし,雲中。雨,,,,,
2011/7/16,無,60%,空振り,空振り,空振り,霧雨、雲中,,,,,
2011/7/17,無,40%,空振り,適中なし,適中なし,薄っすら低い雲海→営業前に雲中,,,,,
2011/7/18,無,50%,空振り,空振り,適中なし,雲海見えたり見えなかったり,,,,,
2011/7/19,有,60%,適中,適中,適中,綺麗な全面雲海。営業中発生,,,,,
2011/7/20,無,50%,空振り,空振り,適中なし,雲中。８時頃から視界良くなる,,,,,
2011/7/21,有,40%,適中,見逃し,見逃し,エリア内のみ雲なし。十勝平野はずっと発生。,,,,,
2011/7/22,有,60%,適中,適中,適中,日高産型の全面雲海,,,,,
2011/7/23,無,70%,空振り,空振り,空振り,雲中,,,,,
2011/7/24,有,50%,適中,適中,見逃し,エリア内のみなし。その他有り　６時４５分消える　機械調整５：１５,,,,,
2011/7/25,有,40%,適中,見逃し,見逃し,雲中。７時５０分～８時５分雲海発見！,,,,,
2011/7/26,有,50%,適中,適中,見逃し,低いトマム産雲海　６時半ごろ消える,,,,,
2011/7/27,無,40%,空振り,適中なし,適中なし,景色のみ。雲なし,,,,,
2011/7/28,有,50%,適中,適中,見逃し,全面雲海。７時に雲海発生なし,,,,,
2011/7/29,有,50%,適中,適中,見逃し,全面雲海。７時に雲海発生なし,,,,,
2011/7/30,有,50%,適中,適中,見逃し,雲中。７時２０分～日高方面に雲海発見！,,,,,
2011/7/31,有,40%,適中,見逃し,見逃し,太平洋産型雲海現る。,,,,,
2011/8/1,有,60%,適中,適中,適中,トマム周辺無かったが5時半頃から全面,,,,,
2011/8/2,有,60%,適中,適中,適中,エリア内に帯状の雲海発生　5時～6時頃,,,,,
2011/8/3,有,60%,適中,適中,適中,全面　～7時頃まで,,,,,
