2011年,,,,,,,,,,,
日付,出現,確率,閾値40,閾値50,閾値60,,,,,,
2011/8/4,有,60%,適中,適中,適中,低い雲海　～6時半まで　十勝平野はあり,,,,,
2011/8/5,有,50%,適中,適中,見逃し,低い雲海　～6時まで　十勝平野から流れてくる,,,,,
2011/8/6,有,40%,適中,見逃し,見逃し,低い雲海　日高側から　～7時まで,,,,,
2011/8/7,有,60%,適中,適中,適中,低い雲海,,,,,
2011/8/8,有,60%,適中,適中,適中,全面　営業中ずっと,,,,,
2011/8/9,有,50%,適中,適中,見逃し,全面　～7時半まで,,,,,
2011/8/10,無,30%,適中なし,適中なし,適中なし,景色見える　5時10分～雲中,,,,,
2011/8/11,無,40%,空振り,適中なし,適中なし,雲中→視界有り→雲中の繰り返し,,,,,
2011/8/12,無,40%,空振り,適中なし,適中なし,雲中、強風　～7時半頃から視界良し,,,,,
2011/8/13,無,50%,空振り,空振り,適中なし,阿寒岳まで見えちゃった,,,,,
2011/8/14,無,50%,空振り,空振り,適中なし,曇り、風強し,,,,,
2011/8/15,無,40%,空振り,適中なし,適中なし,雲中　視界100ｍ　　4時半～強風・雷の恐れ運休,,,,,
2011/8/16,無,50%,空振り,空振り,適中なし,途中何度か雲海っぽく見えるが　今一,,,,,
2011/8/17,無,30%,適中なし,適中なし,適中なし,大雨、雷注意報　運休,,,,,
2011/8/18,無,40%,空振り,適中なし,適中なし,雲中　視界50ｍ　営業中は気温も視界も変わらず,,,,,
2011/8/19,有,50%,適中,適中,見逃し,エリア内上空　少々　　十勝方面一部雲海。見えたり見えなかったり,,,,,
2011/8/20,無,60%,空振り,空振り,空振り,雲中　5時頃少し雲海見えるが、すぐ雲中　7時15分～視界有り,,,,,
2011/8/21,有,60%,適中,適中,適中,全面雲海　6時40分～雲中,,,,,
2011/8/22,無,60%,空振り,空振り,空振り,雲中→雲海（20分）→雲中,,,,,
2011/8/23,無,40%,空振り,適中なし,適中なし,雲中,,,,,
2011/8/24,有,60%,適中,適中,適中,低い雲海有り,,,,,
2011/8/25,有,40%,適中,見逃し,見逃し,全面雲海　6時40分～見えたり見えなかったり,,,,,
2011/8/26,有,50%,適中,適中,見逃し,エリア内、十勝（一部）低い雲海,,,,,
2011/8/27,有,60%,適中,適中,適中,エリア内、十勝（一部）低い雲海,,,,,
2011/8/28,有,60%,適中,適中,適中,低い雲海　十勝方面雲なし,,,,,
2011/8/29,無,60%,空振り,空振り,空振り,快晴（一時運休有り）,,,,,
2011/8/30,有,50%,適中,適中,見逃し,低い雲海,,,,,
2011/8/31,有,50%,適中,適中,見逃し,エリア内上空雲なし　他全面雲海。後、全面雲海。見えたり見えなかったり,,,,,
2011/9/1,有,40%,適中,見逃し,見逃し,十勝方向　一部雲海。雲中→視界有り,,,,,
2011/9/2,無,40%,空振り,適中なし,適中なし,大雨・雷の為運休,,,,,
2011/9/3,有,40%,適中,見逃し,見逃し,十勝方面のみ全面雲海,,,,,
2011/9/4,無,40%,空振り,適中なし,適中なし,雲中,,,,,
2011/9/5,無,30%,適中なし,適中なし,適中なし,強風の為　運休,,,,,
2011/9/6,無,30%,適中なし,適中なし,適中なし,強風の為　運休,,,,,
2011/9/7,無,40%,空振り,適中なし,適中なし,視界良好　風強い　７時半～雨・雲中,,,,,
2011/9/8,無,30%,適中なし,適中なし,適中なし,大雨・強風　運休,,,,,
2011/9/9,無,50%,空振り,空振り,適中なし,視界良好　,,,,,
2011/9/10,無,50%,空振り,空振り,適中なし,雲中,,,,,
2011/9/11,無,50%,空振り,空振り,適中なし,視界良好,,,,,
2011/9/12,無,30%,適中なし,適中なし,適中なし,雨・雷の為　運休,,,,,
2011/9/13,有,60%,適中,適中,適中,低い雲海→７時～綺麗な全面雲海　日高産,,,,,
2011/9/14,有,60%,適中,適中,適中,エリア内上空　雲海→６時半～綺麗な全面,,,,,
2011/9/15,無,40%,空振り,適中なし,適中なし,小雨,,,,,
2011/9/16,無,40%,空振り,適中なし,適中なし,雲中,,,,,
2011/9/17,無,40%,空振り,適中なし,適中なし,雲中→小雨→曇り,,,,,
2011/9/18,無,40%,空振り,適中なし,適中なし,雨、雲中,,,,,
2011/9/19,無,60%,空振り,空振り,空振り,視界良好,,,,,
2011/9/20,有,60%,適中,適中,適中,低い雲海,,,,,
2011/9/21,無,40%,空振り,適中なし,適中なし,途中から雲中,,,,,
2011/9/22,無,30%,適中なし,適中なし,適中なし,大雨・強風の為　運休,,,,,
2011/9/23,無,40%,空振り,適中なし,適中なし,雲中,,,,,
2011/9/24,有,50%,適中,適中,見逃し,小雨→曇り　全面雲海,,,,,
2011/9/25,有,50%,適中,適中,見逃し,低い雲海,,,,,
2011/9/26,有,60%,適中,適中,適中,低い雲海＆十勝高い雲海→全面雲海,,,,,
2011/9/27,有,60%,適中,適中,適中,もや→低い雲海,,,,,
2011/9/28,有,60%,適中,適中,適中,トマム周辺低い雲海,,,,,
2011/9/29,有,60%,適中,適中,適中,低い雲海,,,,,
2011/9/30,無,40%,空振り,適中なし,適中なし,十勝方面に少し有→6：30消滅,,,,,
2011/10/1,無,40%,空振り,適中なし,適中なし,視界不良→良くなったり悪くなったり,,,,,
2011/10/2,有,50%,適中,適中,見逃し,低い雲海　７時～無くなる　トマム初雪,,,,,
2011/10/3,無,40%,空振り,適中なし,適中なし,吹雪の為　運休,,,,,
2011/10/4,無,40%,空振り,適中なし,適中なし,低い雲海らしきものはあったが30分で消えた,,,,,
2011/10/5,無,50%,空振り,空振り,適中なし,景色見える、風が有って寒い,,,,,
2011/10/6,無,40%,空振り,適中なし,適中なし,空の半分が雲で、日の出見えず,,,,,
2011/10/7,無,30%,適中なし,適中なし,適中なし,雷雨の為　運休,,,,,
2011/10/8,無,50%,空振り,空振り,適中なし,雲中→６時から晴れ,,,,,
2011/10/9,無,70%,空振り,空振り,空振り,雲中→６時半から晴れ,,,,,
2011/10/10,無,60%,空振り,空振り,空振り,景色のみ見える、日の出見えず,,,,,
