日付,出現,確率,閾値40,閾値50,閾値60
2012/7/1,1,40,適中,見逃し,見逃し
2012/7/2,1,60,適中,適中,適中
2012/7/3,1,60,適中,適中,適中
2012/7/4,1,70,適中,適中,適中
2012/7/5,1,40,適中,見逃し,見逃し
2012/7/6,0,40,空振り,適中,適中
2012/7/7,0,40,空振り,適中,適中
2012/7/8,1,50,適中,適中,見逃し
2012/7/9,0,30,適中,適中,適中
2012/7/10,0,60,空振り,空振り,空振り
2012/7/11,1,50,適中,適中,見逃し
2012/7/12,0,40,空振り,適中,適中
2012/7/13,0,40,空振り,適中,適中
2012/7/14,0,50,空振り,空振り,適中
2012/7/15,1,60,適中,適中,適中
2012/7/16,1,60,適中,適中,適中
2012/7/17,0,50,空振り,空振り,適中
2012/7/18,1,60,適中,適中,適中
2012/7/19,0,60,空振り,空振り,空振り
2012/7/20,0,50,空振り,空振り,適中
2012/7/21,1,60,適中,適中,適中
2012/7/22,0,50,空振り,空振り,適中
2012/7/23,1,50,適中,適中,見逃し
2012/7/24,1,60,適中,適中,適中
2012/7/25,0,40,空振り,適中,適中
2012/7/26,1,50,適中,適中,見逃し
2012/7/27,0,50,空振り,空振り,適中
2012/7/28,0,40,空振り,適中,適中
2012/7/29,0,50,空振り,空振り,適中
2012/7/30,1,50,適中,適中,見逃し
2012/7/31,0,50,空振り,空振り,適中
2013/7/1,1,60,適中,適中,適中
2013/7/2,1,60,適中,適中,適中
2013/7/3,0,60,空振り,空振り,空振り
2013/7/4,0,30,適中,適中,適中
2013/7/5,1,60,適中,適中,適中
2013/7/6,1,60,適中,適中,適中
2013/7/7,0,60,空振り,空振り,空振り
2013/7/8,1,40,適中,見逃し,見逃し
2013/7/9,0,40,空振り,適中,適中
2013/7/10,0,30,適中,適中,適中
2013/7/11,1,60,適中,適中,適中
2013/7/12,1,40,適中,見逃し,見逃し
2013/7/13,0,60,空振り,空振り,空振り
2013/7/14,1,60,適中,適中,適中
2013/7/15,1,60,適中,適中,適中
2013/7/16,1,60,適中,適中,適中
2013/7/17,0,60,空振り,空振り,空振り
2013/7/18,0,60,空振り,空振り,空振り
2013/7/19,1,60,適中,適中,適中
2013/7/20,1,60,適中,適中,適中
2013/7/21,0,70,空振り,空振り,空振り
2013/7/22,1,40,適中,見逃し,見逃し
2013/7/23,1,60,適中,適中,適中
2013/7/24,1,60,適中,適中,適中
2013/7/25,0,60,空振り,空振り,空振り
2013/7/26,0,40,空振り,適中,適中
2013/7/27,0,40,空振り,適中,適中
2013/7/28,0,40,空振り,適中,適中
2013/7/29,0,40,空振り,適中,適中
2013/7/30,0,40,空振り,適中,適中
2013/7/31,1,40,適中,見逃し,見逃し
2014/7/1,1,50,適中,適中,見逃し
2014/7/2,0,50,空振り,空振り,適中
2014/7/3,0,40,空振り,適中,適中
2014/7/4,0,50,空振り,空振り,適中
2014/7/5,0,50,空振り,空振り,適中
2014/7/6,1,50,適中,適中,見逃し
2014/7/7,1,50,適中,適中,見逃し
2014/7/8,1,60,適中,適中,適中
2014/7/9,1,40,適中,見逃し,見逃し
2014/7/10,0,30,適中,適中,適中
2014/7/11,1,30,見逃し,見逃し,見逃し
2014/7/12,0,40,空振り,適中,適中
2014/7/13,0,40,空振り,適中,適中
2014/7/14,1,40,適中,見逃し,見逃し
2014/7/15,0,50,空振り,空振り,見逃し
2014/7/16,1,40,適中,見逃し,見逃し
2014/7/17,1,50,適中,適中,見逃し
2014/7/18,1,40,適中,見逃し,見逃し
2014/7/19,0,50,空振り,空振り,適中
2014/7/20,0,50,空振り,空振り,適中
2014/7/21,0,50,空振り,空振り,適中
2014/7/22,1,40,適中,見逃し,見逃し
2014/7/23,0,30,適中,適中,適中
2014/7/24,1,40,適中,見逃し,見逃し
2014/7/25,0,60,空振り,空振り,空振り
2014/7/26,0,60,空振り,空振り,空振り
2014/7/27,0,40,空振り,適中,適中
2014/7/28,0,30,適中,適中,適中
2014/7/29,1,50,適中,適中,見逃し
2014/7/30,1,50,適中,適中,見逃し
2014/7/31,0,40,空振り,適中,適中
2015/7/1,0,20,適中,適中,適中
2015/7/2,0,20,適中,適中,適中
2015/7/3,0,20,適中,適中,適中
2015/7/4,1,30,見逃し,見逃し,見逃し
2015/7/5,1,40,適中,見逃し,見逃し
2015/7/6,1,40,適中,見逃し,見逃し
2015/7/7,0,20,適中,適中,適中
2015/7/8,0,40,空振り,適中,適中
2015/7/9,1,30,見逃し,見逃し,見逃し
2015/7/10,1,30,見逃し,見逃し,見逃し
2015/7/11,1,40,適中,見逃し,見逃し
2015/7/12,1,30,見逃し,見逃し,見逃し
2015/7/13,0,30,適中,適中,適中
2015/7/14,0,30,適中,適中,適中
2015/7/15,0,20,適中,適中,適中
2015/7/16,0,30,適中,適中,適中
2015/7/17,1,20,見逃し,見逃し,見逃し
2015/7/18,0,20,適中,適中,適中
2015/7/19,0,20,適中,適中,適中
2015/7/20,1,40,適中,適中,適中
2015/7/21,1,30,見逃し,見逃し,見逃し
2015/7/22,0,20,適中,適中,適中
2015/7/23,0,20,適中,適中,適中
2015/7/24,1,30,見逃し,見逃し,見逃し
2015/7/25,1,20,見逃し,見逃し,見逃し
2015/7/26,0,30,適中,適中,適中
2015/7/27,0,30,適中,適中,適中
2015/7/28,1,20,見逃し,見逃し,見逃し
2015/7/29,1,20,見逃し,見逃し,見逃し
2015/7/30,0,30,適中,適中,適中
2015/7/31,0,30,適中,適中,適中
2016/7/1,0,30,適中,適中,適中
2016/7/2,0,30,適中,適中,適中
2016/7/3,0,20,適中,適中,適中
2016/7/4,0,30,適中,適中,適中
2016/7/5,1,50,適中,適中,見逃し
2016/7/6,1,30,見逃し,見逃し,見逃し
2016/7/7,1,40,適中,見逃し,見逃し
