2015年,,,,,
日付,出現,確率,閾値40,閾値50,閾値60
2015/5/16,0,20,適中なし,適中なし,適中なし
2015/5/17,0,30,適中なし,適中なし,適中なし
2015/5/18,0,40,空振り,適中なし,適中なし
2015/5/19,1,30,見逃し,見逃し,見逃し
2015/5/20,0,20,適中なし,適中なし,適中なし
2015/5/21,0,50,空振り,空振り,適中なし
2015/5/22,0,30,適中なし,適中なし,適中なし
2015/5/23,0,30,適中なし,適中なし,適中なし
2015/5/24,0,20,適中なし,適中なし,適中なし
2015/5/25,0,30,適中なし,適中なし,適中なし
2015/5/26,0,20,適中なし,適中なし,適中なし
2015/5/27,1,20,見逃し,見逃し,見逃し
2015/5/28,0,30,適中なし,適中なし,適中なし
2015/5/29,0,30,適中なし,適中なし,適中なし
2015/5/30,0,20,適中なし,適中なし,適中なし
2015/5/31,,30,,,
2015/6/1,0,30,適中なし,適中なし,適中なし
2015/6/2,0,20,適中なし,適中なし,適中なし
2015/6/3,0,30,適中なし,適中なし,適中なし
2015/6/4,0,20,適中なし,適中なし,適中なし
2015/6/5,0,20,適中なし,適中なし,適中なし
2015/6/6,1,40,適中,見逃し,見逃し
2015/6/7,0,30,適中なし,適中なし,適中なし
2015/6/8,0,40,空振り,適中なし,適中なし
2015/6/9,0,40,空振り,適中なし,適中なし
2015/6/10,0,20,適中なし,適中なし,適中なし
2015/6/11,0,30,適中なし,適中なし,適中なし
2015/6/12,1,50,適中,適中,見逃し
2015/6/13,1,20,見逃し,見逃し,見逃し
2015/6/14,0,30,適中なし,適中なし,適中なし
2015/6/15,0,30,適中なし,適中なし,適中なし
2015/6/16,1,40,適中,適中,適中
2015/6/17,1,50,適中,適中,見逃し
2015/6/18,1,60,適中,適中,適中
2015/6/19,1,40,適中,見逃し,見逃し
2015/6/20,1,30,見逃し,見逃し,見逃し
2015/6/21,1,30,見逃し,見逃し,見逃し
2015/6/22,0,30,適中なし,適中なし,適中なし
2015/6/23,0,30,適中なし,適中なし,適中なし
2015/6/24,0,30,適中なし,適中なし,適中なし
2015/6/25,0,30,適中なし,適中なし,適中なし
2015/6/26,1,30,見逃し,見逃し,見逃し
2015/6/27,0,30,適中なし,適中なし,適中なし
2015/6/28,0,20,適中なし,適中なし,適中なし
2015/6/29,0,50,空振り,空振り,適中なし
2015/6/30,0,30,適中なし,適中なし,適中なし
2015/7/1,0,20,適中なし,適中なし,適中なし
2015/7/2,0,20,適中なし,適中なし,適中なし
2015/7/3,0,20,適中なし,適中なし,適中なし
2015/7/4,1,30,見逃し,見逃し,見逃し
2015/7/5,1,40,適中,見逃し,見逃し
2015/7/6,1,40,適中,見逃し,見逃し
2015/7/7,0,20,適中なし,適中なし,適中なし
2015/7/8,0,40,空振り,適中なし,適中なし
2015/7/9,1,30,見逃し,見逃し,見逃し
2015/7/10,1,30,見逃し,見逃し,見逃し
2015/7/11,1,40,適中,見逃し,見逃し
2015/7/12,1,30,見逃し,見逃し,見逃し
2015/7/13,0,30,適中なし,適中なし,適中なし
2015/7/14,0,30,適中なし,適中なし,適中なし
2015/7/15,0,20,適中なし,適中なし,適中なし
2015/7/16,0,30,適中なし,適中なし,適中なし
2015/7/17,1,20,見逃し,見逃し,見逃し
2015/7/18,0,20,適中なし,適中なし,適中なし
2015/7/19,0,20,適中なし,適中なし,適中なし
2015/7/20,1,40,適中,適中,適中
2015/7/21,1,30,見逃し,見逃し,見逃し
2015/7/22,0,20,適中なし,適中なし,適中なし
2015/7/23,0,20,適中なし,適中なし,適中なし
2015/7/24,1,30,見逃し,見逃し,見逃し
2015/7/25,1,20,見逃し,見逃し,見逃し
2015/7/26,0,30,適中なし,適中なし,適中なし
2015/7/27,0,30,適中なし,適中なし,適中なし
2015/7/28,1,20,見逃し,見逃し,見逃し
2015/7/29,1,20,見逃し,見逃し,見逃し
2015/7/30,0,30,適中なし,適中なし,適中なし
2015/7/31,0,30,適中なし,適中なし,適中なし
2015/8/1,0,20,適中なし,適中なし,適中なし
2015/8/2,1,40,適中,適中,適中
2015/8/3,1,50,適中,適中,見逃し
2015/8/4,0,40,空振り,適中なし,適中なし
2015/8/5,0,30,適中なし,適中なし,適中なし
2015/8/6,0,20,適中なし,適中なし,適中なし
2015/8/7,0,20,適中なし,適中なし,適中なし
2015/8/8,1,40,適中,見逃し,見逃し
2015/8/9,1,30,見逃し,見逃し,見逃し
2015/8/10,1,30,見逃し,見逃し,見逃し
2015/8/11,0,50,空振り,空振り,適中なし
2015/8/12,1,30,見逃し,見逃し,見逃し
2015/8/13,1,50,適中,適中,見逃し
2015/8/14,0,40,空振り,適中なし,適中なし
2015/8/15,1,20,見逃し,見逃し,見逃し
2015/8/16,1,20,見逃し,見逃し,見逃し
2015/8/17,1,20,見逃し,見逃し,見逃し
2015/8/18,0,20,適中なし,適中なし,適中なし
2015/8/19,0,30,適中なし,適中なし,適中なし
2015/8/20,0,30,適中なし,適中なし,適中なし
2015/8/21,0,30,適中なし,適中なし,適中なし
2015/8/22,0,30,適中なし,適中なし,適中なし
2015/8/23,1,60,適中,適中,適中
2015/8/24,1,30,見逃し,見逃し,見逃し
2015/8/25,1,30,見逃し,見逃し,見逃し
2015/8/26,0,30,適中なし,適中なし,適中なし
2015/8/27,0,40,空振り,適中なし,適中なし
2015/8/28,1,50,適中,適中,適中
2015/8/29,0,70,空振り,空振り,空振り
2015/8/30,1,50,適中,適中,見逃し
2015/8/31,1,50,適中,適中,見逃し
2015/9/1,1,30,見逃し,見逃し,見逃し
2015/9/2,1,50,適中,適中,見逃し
2015/9/3,0,40,空振り,適中なし,適中なし
2015/9/4,0,50,空振り,空振り,適中なし
2015/9/5,1,40,適中,見逃し,見逃し
2015/9/6,1,50,適中,適中,見逃し
2015/9/7,0,50,空振り,空振り,適中なし
2015/9/8,1,50,適中,適中,見逃し
2015/9/9,0,60,空振り,空振り,空振り
2015/9/10,0,30,適中なし,適中なし,適中なし
2015/9/11,0,20,適中なし,適中なし,適中なし
2015/9/12,0,20,適中なし,適中なし,適中なし
2015/9/13,0,30,適中なし,適中なし,適中なし
2015/9/14,1,30,見逃し,見逃し,見逃し
2015/9/15,1,60,適中,適中,適中
2015/9/16,1,50,適中,適中,見逃し
2015/9/17,0,50,空振り,空振り,適中なし
2015/9/18,0,40,空振り,適中なし,適中なし
2015/9/19,0,20,適中なし,適中なし,適中なし
2015/9/20,0,20,適中なし,適中なし,適中なし
2015/9/21,1,40,適中,適中,適中
2015/9/22,1,40,適中,適中,適中
2015/9/23,0,60,空振り,空振り,空振り
2015/9/24,0,40,空振り,適中なし,適中なし
2015/9/25,0,40,空振り,適中なし,適中なし
2015/9/26,1,40,適中,見逃し,見逃し
2015/9/27,1,30,見逃し,見逃し,見逃し
2015/9/28,1,20,見逃し,見逃し,見逃し
2015/9/29,0,30,適中なし,適中なし,適中なし
2015/9/30,0,30,適中なし,適中なし,適中なし
2015/10/1,0,40,空振り,適中なし,適中なし
2015/10/2,,0,,,
2015/10/3,,0,,,
2015/10/4,0,40,空振り,適中なし,適中なし
2015/10/5,0,40,空振り,適中なし,適中なし
2015/10/6,1,40,適中,見逃し,適中
2015/10/7,0,40,空振り,適中なし,適中なし
2015/10/8,,30,,,
2015/10/9,,20,,,
2015/10/10,,30,,,
2015/10/11,0,60,空振り,空振り,空振り
2015/10/12,,0,,,
2015/10/13,0,30,適中なし,適中なし,適中なし
