日付,出現,確率,閾値40,閾値50,閾値60
2013/5/25,1,60,適中,適中,適中
2013/5/26,1,60,適中,適中,適中
2013/5/27,0,60,空振り,空振り,空振り
2013/5/28,0,40,空振り,適中,適中
2013/5/29,1,40,適中,見逃し,見逃し
2013/5/30,1,30,見逃し,見逃し,見逃し
2013/5/31,1,60,適中,適中,適中
2014/5/17,0,20,適中,適中,適中
2014/5/18,0,30,適中,適中,適中
2014/5/19,0,40,空振り,適中,適中
2014/5/20,0,40,空振り,適中,適中
2014/5/21,0,50,空振り,空振り,適中
2014/5/22,0,40,空振り,適中,適中
2014/5/23,1,40,適中,見逃し,見逃し
2014/5/24,1,50,適中,適中,見逃し
2014/5/25,0,50,空振り,空振り,適中
2014/5/26,0,60,空振り,空振り,空振り
2014/5/27,1,20,見逃し,見逃し,見逃し
2014/5/28,1,60,適中,適中,適中
2014/5/29,0,40,空振り,適中,適中
2014/5/30,0,50,空振り,空振り,適中
2014/5/31,1,40,適中,見逃し,見逃し
2015/5/16,0,20,適中,適中,適中
2015/5/17,0,30,適中,適中,適中
2015/5/18,0,40,空振り,適中,適中
2015/5/19,1,30,見逃し,見逃し,見逃し
2015/5/20,0,20,適中,適中,適中
2015/5/21,0,50,空振り,空振り,適中
2015/5/22,0,30,適中,適中,適中
2015/5/23,0,30,適中,適中,適中
2015/5/24,0,20,適中,適中,適中
2015/5/25,0,30,適中,適中,適中
2015/5/26,0,20,適中,適中,適中
2015/5/27,1,20,見逃し,見逃し,見逃し
2015/5/28,0,30,適中,適中,適中
2015/5/29,0,30,適中,適中,適中
2015/5/30,0,20,適中,適中,適中
2015/5/31,,30,,,
2016/5/14,,30,,,
2016/5/15,0,30,適中,適中,適中
2016/5/16,1,50,適中,適中,見逃し
2016/5/17,,,,,
2016/5/18,0,30,適中,適中,適中
2016/5/19,0,40,空振り,適中,適中
2016/5/20,0,20,適中,適中,適中
2016/5/21,0,30,適中,適中,適中
2016/5/22,0,30,適中,適中,適中
2016/5/23,0,30,適中,適中,適中
2016/5/24,0,20,適中,適中,適中
2016/5/25,1,30,見逃し,見逃し,見逃し
2016/5/26,0,40,空振り,適中,適中
2016/5/27,0,30,適中,適中,適中
2016/5/28,0,30,適中,適中,適中
2016/5/29,1,30,見逃し,見逃し,見逃し
2016/5/30,,30,,,
2016/5/31,1,30,見逃し,見逃し,見逃し
2017/5/13,1,30,見逃し,見逃し,見逃し
2017/5/14,1,30,見逃し,見逃し,見逃し
2017/5/15,0,30,適中,適中,適中
2017/5/16,0,20,適中,適中,適中
2017/5/17,0,30,適中,適中,適中
2017/5/18,1,30,見逃し,見逃し,見逃し
2017/5/19,0,20,適中,適中,適中
2017/5/20,0,30,適中,適中,適中
2017/5/21,0,40,空振り,適中,適中
2017/5/22,1,20,見逃し,見逃し,見逃し
2017/5/23,0,20,適中,適中,適中
2017/5/24,0,30,適中,適中,適中
2017/5/25,1,30,見逃し,見逃し,見逃し
2017/5/26,0,40,空振り,適中,適中
2017/5/27,0,20,適中,適中,適中
2017/5/28,0,20,適中,適中,適中
2017/5/29,0,40,空振り,適中,適中
2017/5/30,0,20,適中,適中,適中
2017/5/31,0,20,適中,適中,適中
2018/5/12,0,40,空振り,適中,適中
2018/5/13,0,20,適中,適中,適中
2018/5/14,1,20,見逃し,見逃し,見逃し
2018/5/15,0,30,適中,適中,適中
2018/5/16,0,30,適中,適中,適中
2018/5/17,0,30,適中,適中,適中
2018/5/18,0,40,空振り,適中,適中
2018/5/19,0,20,適中,適中,適中
2018/5/20,0,30,適中,適中,適中
2018/5/21,0,30,適中,適中,適中
2018/5/22,0,20,適中,適中,適中
2018/5/23,0,20,適中,適中,適中
2018/5/24,0,20,適中,適中,適中
2018/5/25,0,20,適中,適中,適中
2018/5/26,0,30,適中,適中,適中
2018/5/27,1,30,見逃し,見逃し,見逃し
2018/5/28,1,30,見逃し,見逃し,見逃し
2018/5/29,0,20,適中,適中,適中
2018/5/30,1,30,見逃し,見逃し,見逃し
2018/5/31,0,20,適中,適中,適中
2019/5/11,0,30,適中,適中,適中
2019/5/12,0,30,適中,適中,適中
2019/5/13,0,30,適中,適中,適中
2019/5/14,0,30,適中,適中,適中
2019/5/15,0,50,空振り,空振り,適中
2019/5/16,1,50,適中,適中,見逃し
2019/5/17,1,50,適中,適中,見逃し
2019/5/18,1,60,適中,適中,適中
2019/5/19,1,50,適中,適中,見逃し
2019/5/20,1,30,見逃し,見逃し,見逃し
2019/5/21,1,20,見逃し,見逃し,見逃し
2019/5/22,1,40,適中,見逃し,見逃し
2019/5/23,0,30,適中,適中,適中
2019/5/24,0,50,空振り,空振り,適中
2019/5/25,0,40,空振り,適中,適中
2019/5/26,0,20,適中,適中,適中
2019/5/27,0,20,適中,適中,適中
2019/5/28,0,20,適中,適中,適中
2019/5/29,0,50,空振り,空振り,適中
2019/5/30,0,30,適中,適中,適中
2019/5/31,0,30,適中,適中,適中
2021/5/11,0,30,適中,適中,適中
2021/5/12,1,30,見逃し,見逃し,見逃し
2021/5/13,1,40,適中,見逃し,見逃し
2021/5/14,0,30,適中,適中,適中
2021/5/15,0,30,適中,適中,適中
2021/5/16,1,30,見逃し,見逃し,見逃し
2021/5/17,0,20,適中,適中,適中
2021/5/18,1,30,見逃し,見逃し,見逃し
2021/5/19,1,40,適中,見逃し,見逃し
2021/5/20,0,30,適中,適中,適中
2021/5/21,0,50,空振り,空振り,適中
2021/5/22,0,30,適中,適中,適中
2021/5/23,1,30,見逃し,見逃し,見逃し
2021/5/24,0,30,適中,適中,適中
2021/5/25,0,20,適中,適中,適中
2021/5/26,1,30,見逃し,見逃し,見逃し
2021/5/27,0,40,空振り,適中,適中
2021/5/28,0,20,適中,適中,適中
2021/5/29,0,30,適中,適中,適中
2021/5/30,0,20,適中,適中,適中
2021/5/31,0,40,空振り,適中,適中
