2017年,,,,,
日付,出現,確率,閾値40,閾値50,閾値60
2017/7/23,1,20,見逃し,見逃し,見逃し
2017/7/24,1,30,見逃し,見逃し,見逃し
2017/7/25,1,30,見逃し,見逃し,見逃し
2017/7/26,0,30,適中,適中,適中
2017/7/27,0,40,空振り,適中,適中
2017/7/28,0,30,適中,適中,適中
2017/7/29,1,30,見逃し,見逃し,見逃し
2017/7/30,1,60,適中,適中,適中
2017/7/31,0,50,空振り,空振り,適中
2017/8/1,0,20,適中,適中,適中
2017/8/2,1,40,適中,見逃し,見逃し
2017/8/3,0,50,空振り,空振り,適中
2017/8/4,1,30,見逃し,見逃し,見逃し
2017/8/5,1,30,見逃し,見逃し,見逃し
2017/8/6,1,40,適中,見逃し,見逃し
2017/8/7,1,50,適中,適中,見逃し
2017/8/8,1,40,適中,見逃し,見逃し
2017/8/9,0,40,空振り,適中,適中
2017/8/10,0,30,適中,適中,適中
2017/8/11,1,40,適中,見逃し,見逃し
2017/8/12,0,20,適中,適中,適中
2017/8/13,0,20,適中,適中,適中
2017/8/14,1,30,見逃し,見逃し,見逃し
2017/8/15,0,30,適中,適中,適中
2017/8/16,0,30,適中,適中,適中
2017/8/17,1,40,適中,見逃し,見逃し
2017/8/18,1,30,見逃し,見逃し,見逃し
2017/8/19,0,40,空振り,適中,適中
2017/8/20,1,40,適中,見逃し,見逃し
2017/8/21,1,40,適中,見逃し,見逃し
2017/8/22,0,20,適中,適中,適中
2017/8/23,0,20,適中,適中,適中
2017/8/24,0,30,適中,適中,適中
2017/8/25,0,20,適中,適中,適中
2017/8/26,0,30,適中,適中,適中
2017/8/27,0,60,空振り,空振り,空振り
2017/8/28,1,40,適中,見逃し,見逃し
2017/8/29,0,20,適中,適中,適中
2017/8/30,0,30,適中,適中,適中
2017/8/31,0,30,適中,適中,適中
2017/9/1,1,30,見逃し,見逃し,見逃し
2017/9/2,1,40,適中,見逃し,見逃し
2017/9/3,1,50,適中,適中,見逃し
2017/9/4,1,50,適中,適中,見逃し
2017/9/5,1,50,適中,適中,見逃し
2017/9/6,0,70,空振り,空振り,空振り
2017/9/7,1,50,適中,適中,見逃し
2017/9/8,1,30,見逃し,見逃し,見逃し
2017/9/9,1,40,適中,見逃し,見逃し
2017/9/10,0,,,,
2017/9/11,0,30,適中,適中,適中
2017/9/12,0,30,適中,適中,適中
2017/9/13,1,20,見逃し,見逃し,見逃し
2017/9/14,0,20,適中,適中,適中
2017/9/15,0,20,適中,適中,適中
2017/9/16,1,40,適中,見逃し,見逃し
2017/9/17,0,60,空振り,空振り,空振り
2017/9/18,0,20,適中,適中,適中
2017/9/19,0,30,適中,適中,適中
2017/9/20,0,50,空振り,空振り,適中
2017/9/21,0,20,適中,適中,適中
2017/9/22,1,40,適中,見逃し,見逃し
2017/9/23,0,50,空振り,空振り,適中
2017/9/24,1,40,適中,見逃し,見逃し
2017/9/25,1,30,見逃し,見逃し,見逃し
2017/9/26,0,50,空振り,空振り,適中
2017/9/27,0,30,適中,適中,適中
2017/9/28,0,20,適中,適中,適中
2017/9/29,1,50,適中,適中,見逃し
2017/9/30,0,40,空振り,適中,適中
2017/10/1,0,30,適中,適中,適中
2017/10/2,0,20,適中,適中,適中
2017/10/3,0,30,適中,適中,適中
2017/10/4,0,30,適中,適中,適中
2017/10/5,0,30,適中,適中,適中
2017/10/6,0,40,空振り,適中,適中
2017/10/7,1,40,適中,見逃し,見逃し
2017/10/8,1,40,適中,見逃し,見逃し
2017/10/9,1,40,適中,見逃し,見逃し
2017/10/10,0,30,適中,適中,適中
2017/10/11,0,20,適中,適中,適中
2017/10/12,0,20,適中,適中,適中
2017/10/13,0,40,空振り,適中,適中
2017/10/14,0,30,適中,適中,適中
2017/10/15,0,50,空振り,空振り,適中
2017/10/16,0,30,適中,適中,適中
