１６年分,,,,,,,,,,,
日付,出現,確率,閾値40,閾値50,閾値60,,,,,,
2006/9/18,△,60%,空振り,空振り,空振り,雲海無し,,,,,
2007/6/19,無,60%,空振り,空振り,空振り,テラスは雲中、トマム山山頂で雲海見えた（客談）,,,,,
2007/6/20,無,50%,空振り,空振り,適中なし,とても寒く雲海無し,,,,,
2007/6/21,無,50%,空振り,空振り,適中なし,雨で営業中止,,,,,
2007/6/22,無,60%,空振り,空振り,空振り,曇り時々霧、６時過ぎに多少発生,,,,,
2007/6/23,有,70%,適中,適中,適中,５時前後に雲海発生、5:30頃から雷雨で営業中止,,,,,
2007/6/24,有,70%,適中,適中,適中,５時頃雲海発生、６時過ぎから消滅？雲中？,,,,,
2007/6/25,有,50%,適中,適中,見逃し,6:30頃まで雲海、その後雲中,,,,,
2007/6/26,無,50%,空振り,空振り,適中なし,朝一雲海発生していたが、営業中は雲中,,,,,
2007/6/27,無,40%,空振り,適中なし,適中なし,雲中、視界50ｍ、5:30頃から晴れ、雲海無し,,,,,
2007/6/28,無,50%,空振り,空振り,適中なし,雲海無し、とても寒い,,,,,
2007/6/29,無,30%,適中なし,適中なし,適中なし,雲中、霧雨で7:00に営業中止,,,,,
2007/6/30,無,30%,適中なし,適中なし,適中なし,雲中、霧雨で営業中止,,,,,
2007/7/1,有,60%,適中,適中,適中,６時頃霧で見えなくなり、８時過ぎにまた発生,,,,,
2007/7/2,無,60%,空振り,空振り,空振り,快晴,,,,,
2007/7/3,無,60%,空振り,空振り,空振り,串内方面少しあり,,,,,
2007/7/4,有,50%,適中,適中,見逃し,朝一雲海発生、途中雲中で６時頃からまた発生,,,,,
2007/7/5,無,70%,空振り,空振り,空振り,寒く、強風,,,,,
2007/7/6,無,50%,空振り,空振り,適中なし,雨で中止,,,,,
2007/7/7,無,50%,空振り,空振り,適中なし,快晴,,,,,
2007/7/8,有,60%,適中,適中,適中,低い雲海６時頃迄、その後快晴,,,,,
2007/7/9,有,60%,適中,適中,適中,雲海発生、７時頃から雲中,,,,,
2007/7/10,有,60%,適中,適中,適中,雲海発生、６時30分頃から雲中,,,,,
2007/7/11,有,60%,適中,適中,適中,雲海とても綺麗,,,,,
2007/7/12,無,50%,空振り,空振り,適中なし,雨で中止,,,,,
2007/7/13,無,50%,空振り,空振り,適中なし,雨で中止,,,,,
2007/7/14,有,70%,適中,適中,適中,朝一雲海発生、5:30～7:00頃迄雲中、その後雲海,,,,,
2007/7/15,有,60%,適中,適中,適中,5:30迄雲海、その後雲中,,,,,
